A,B,C
1.04163601691,0.22042737273,28.60e44
1.02280068781,0.219710404083,4.12e44
1.11577830444,0.18867848912,3.03e44
0.917479121549,0.147811524494,7.53e44
0.877315078445,0.139782758144,7.45e44
1.07806314462,0.183952499381,2.67e44
1.11613504342,0.233200980105,10.99e44
1.05821778132,0.174786526307,10.21e44
1.02906553582,0.233263978086,2.22e44
1.05153540311,0.220946911038,5.01e44
1.14303486952,0.248953765932,14.18e44
1.04260628676,0.206833947591,7.30e44
1.54887349708,0.291250603872,15.40e44
1.18360475281,0.200556557997,2.92e44
0.983895618097,0.2058599474,9.16e44
1.13280024497,0.227668191355,9.55e44
1.06878173581,0.213455324012,20.08e44
1.14703363385,0.258068989548,4.54e44
1.06711122747,0.221361531082,4.58e44
1.0253953447,0.177641746192,20.06e44
0.975373902875,0.191976468778,8.77e44
1.31976548297,0.263715121485,110.57e44
1.17078146313,0.217546856384,4.83e44
1.08968187276,0.265879485993,6.98e44
1.03536198987,0.226670444547,4.91e44
1.16644287301,0.212098594295,7.67e44
1.04316080903,0.221156161316,15.04e44
1.06511253978,0.219614406462,23.93e44
0.932865182723,0.157138531293,5.24e44
1.36700281895,0.218895451296,3.81e44
1.01332440069,0.216413420236,5.71e44
1.01108678469,0.244482513085,7.79e44
1.05875170738,0.251082558681,8.55e44
 1.15774602133,0.182576015825,7.04e44
1.07506306092,0.206498715978,3.32e44
0.993599542019,0.164969935412,5.01e44
1.07156791311,0.252970546625,13.77e44
1.10260109872,0.193124183751,7.08e44
1.08373695567,0.193991298049,61.52e44
0.945393002938,0.155725348404,4.95e44
1.19946441937,0.242972940368,8.10e44
1.09233134387,0.271356167261,12.58e44
1.27768152117,0.235427232935,3.64e44
1.18646862398,0.21407839627,22.37e44
1.08131800229,0.243986545692,8.86e44
1.23994330692,0.193203872707,21.42e44
1.14351333711,0.21181516035,10.26e44
1.45795465882,0.27558652217,2.58e44
1.55814938758,0.258640249537,4.90e44
1.04171337855,0.229272016708,13.90e44
1.2318185096,0.18438326571,2.73e44
1.25444719295,0.216301457843,2.97e44
1.15267002146,0.248104863813,14.42e44
1.3840445266,0.27466194849,10.07e44
1.00638346992,0.198704345471,24.27e44
1.13788468361,0.192103350624,9.92e44
0.916631164223,0.177174851265,4.30e44
1.15088938122,0.217249214361,8.22e44
1.08576210904,0.215460550887,4.27e44
1.18966237462,0.222907524637,5.44e44
1.20290709123,0.258735165519,10.96e44
1.13069305699,0.182901826723,5.04e44
1.0714183311,0.201580409911,9.92e44
1.39286082929,0.24435511729,7.46e44
1.21915092632,0.190007354389,8.41e44
1.17830602048,0.240485970963,3.72e44
1.16443701876,0.18808622003,2.54e44
1.21070765831,0.234096692809,2.67e44
1.46144089703,0.224961909864,6.33e44
1.28951731167,0.210674981805,4.60e44
1.13700003352,0.198824920957,
1.07953174983,0.166118754875,
1.33050347356,0.21782829773,
0.852700151497,0.147776851151,
1.22543211826,0.232511773286,
1.1754856926,0.231534786169,
1.11362551907,0.253561948236,
1.00904840389,0.184410614128,
1.13825246325,0.176201124543,
1.1719403363,0.198774917171,
1.2389774026,0.197371640405,
