A,B
1.12866523022,28.60e44
0.928673738472,4.12e44
1.12835548627,3.03e44
1.29158043963,7.53e44
0.993959814838,7.45e44
1.24845742225,2.67e44
1.29594796902,10.99e44
1.22100739278,10.21e44
1.11023864794,2.22e44
1.33194931132,5.01e44
1.1594099498,14.18e44
1.0937785169,7.30e44
1.08782048375,15.40e44
1.26499572001,2.92e44
1.00895043947,9.16e44
1.14121133635,9.55e44
1.16943901465,20.08e44
1.17662985288,4.54e44
1.18910319939,4.58e44
1.1262447864,20.06e44
1.17780592803,8.77e44
1.34242709176,110.57e44
1.06983321607,4.83e44
1.96211749034,6.98e44
0.976220921667,4.91e44
1.59759428007,7.67e44
1.16018306453,15.04e44
1.3213202511,23.93e44
1.09149226702,5.24e44
1.11412580137,3.81e44
1.09574089057,5.71e44
0.938317239344,7.79e44
1.30423757635,8.55e44
1.23957468149,7.04e44
1.07622393342,3.32e44
1.11115597729,5.01e44
1.306288689,13.77e44
1.00841393741,7.08e44
1.26681225857,61.52e44
1.00804719016,4.95e44
1.10357386,8.10e44
1.1489178586,12.58e44
1.20784854575,3.64e44
1.05906104277,22.37e44
1.06528808362,8.86e44
1.13924246185,21.42e44
0.955395505252,10.26e44
1.31562783817,2.58e44
0.874351094626,4.90e44
0.988731671124,13.90e44
1.13024094886,2.73e44
1.2422931797,2.97e44
0.994617882006,14.42e44
1.03341029903,10.07e44
0.919749316974,24.27e44
1.09934163531,9.92e44
1.25570749915,4.30e44
0.998567756096,8.22e44
1.13093229008,4.27e44
1.11406249392,5.44e44
1.09678917217,10.96e44
1.01699258459,5.04e44
1.2697492739,9.92e44
1.16189246042,7.46e44
1.06221649507,8.41e44
1.12240840348,3.72e44
1.19260902178,2.54e44
1.17729438555,2.67e44
1.13133355637,6.33e44
1.08786433149,4.60e44
1.06003245409,
0.951157588676,
1.14375004984,
1.36569455573,
1.11357478542,
1.19540474932,
1.07226458657,
1.02713490008,
1.10392566291,
